Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Area µm^2,Perimeter µm
MDB0000531-P1-11-s40.tif,281adf61-c37d-4f83-afb2-207d3caed559,Annotation,,Stroma,Annotation (Germ Cells),Geometry,733587.3,2657894.8,242052700.9,354218.3
MDB0000531-P1-11-s40.tif,a925ce40-6e63-4f03-b13b-99accc2a9a4f,Annotation,,Germ Cells,Annotation (Germ Cells),Geometry,728489.6,2659531.7,794438137.2,356676.4
MDB0000531-P1-11-s40.tif,71386734-5d9a-4172-8e39-ae421dd21b20,Annotation,,Germ Cells,Root object (Image),Polygon,614178.5,2637382.7,964553997.3,111599.4
MDB0000531-P1-11-s40.tif,a2533b46-b7d0-4f6b-b7b2-06ea39f222de,Annotation,,Stroma,Annotation (Germ Cells),Geometry,612454,2635292.4,167833666.3,212792.8
MDB0000531-P1-11-s40.tif,56f5158f-c024-429b-b42c-601574af0886,Annotation,,Germ Cells,Annotation (Germ Cells),Geometry,614542.4,2637821.8,796719700.5,203839.4
MDB0000531-P1-11-s40.tif,b7b8f5c3-60b9-40c8-9a63-8e77e4e21269,Annotation,,Germ Cells,Root object (Image),Polygon,628298.3,2597707.6,873066102.9,107931.4
MDB0000531-P1-11-s40.tif,6512a0e8-5fbc-4fb2-8eda-1101d1db790c,Annotation,,Germ Cells,Annotation (Germ Cells),Geometry,627362.4,2597005.3,755697749.6,149950.1
MDB0000531-P1-11-s40.tif,1c68c39b-f3d0-4eb4-8955-f60386124ada,Annotation,,Stroma,Annotation (Germ Cells),Geometry,634329.7,2602219.5,117368960.9,123553.9
MDB0000531-P1-11-s40.tif,50fe4909-5b29-4b2b-a58d-afec4a9c4fd1,Annotation,,Germ Cells,Root object (Image),Polygon,571835.9,2679506.6,802164414.2,102100.6
MDB0000531-P1-11-s40.tif,28989188-e10c-4622-9c32-def25a988da2,Annotation,,Germ Cells,Annotation (Germ Cells),Geometry,572643,2678733.3,716392705.3,136529.1
MDB0000531-P1-11-s40.tif,c055a17a-1bc8-4b22-abc0-2713078e5380,Annotation,,Stroma,Annotation (Germ Cells),Geometry,565097.1,2685979.4,85774838.4,107578.7
MDB0000531-P1-11-s40.tif,c85ebf56-d3db-41bd-a367-68a3fe35dc32,Annotation,,Germ Cells,Root object (Image),Polygon,587549.8,2709994.1,683720502.3,93713.1
MDB0000531-P1-11-s40.tif,d30a8038-1c87-451d-9fb2-5114eb041e6e,Annotation,,Stroma,Annotation (Germ Cells),Geometry,580880.3,2709615.5,97400640.6,155620
MDB0000531-P1-11-s40.tif,9a916976-e1a3-4bf5-95ce-647f052eb446,Annotation,,Germ Cells,Annotation (Germ Cells),Geometry,588659.1,2710056.5,586304293.1,184948.7
MDB0000531-P1-11-s40.tif,9efcc4f9-70ea-48ae-9d68-4e4dcc6c469d,Annotation,,Germ Cells,Root object (Image),Polygon,517002.4,2555443.2,492693630.8,79661
MDB0000531-P1-11-s40.tif,c43f8edc-29c0-49d2-83b2-e236f72807e8,Annotation,,Germ Cells,Annotation (Germ Cells),Geometry,515732.9,2553783,305935754.1,164099.2
MDB0000531-P1-11-s40.tif,6da5ad8a-d9e7-4b39-85ae-d3e7a46159ae,Annotation,,Stroma,Annotation (Germ Cells),Geometry,519084.3,2558164.6,186756638.6,196133.1
MDB0000531-P1-11-s40.tif,8f2b1ff9-296a-4d09-ac0b-f9beb16a3885,Annotation,,Germ Cells,Root object (Image),Polygon,573031,2542524.9,561391246.2,85493.3
MDB0000531-P1-11-s40.tif,cdfe9e33-075a-4ed3-9926-fa4cdb37486b,Annotation,,Germ Cells,Annotation (Germ Cells),Geometry,572597.1,2542423.6,458201741.9,148294.7
MDB0000531-P1-11-s40.tif,2f1d1555-68bd-426c-9668-daabc09183a8,Annotation,,Stroma,Annotation (Germ Cells),Geometry,574957.2,2542977.4,103189504.3,161212.4
